service_id,service_date,service_duration,service_comment,service_cashed_price,service_is_voucher,service_client_id_id,service_massage_id_id
31,2019-08-23,85,HFhVfêó6óhï2xTkK%6JìsL7Gbì*DmENêJr785%àcoXüöz6@wWc,193,t,853,22
32,2021-11-16,106,ûmûüá2ó&#gíwfàn5cbZZ0&TvMtScxdöótoKzALEYhjCFVqô7R1,188,t,946,7
33,2023-10-28,36,Paä8îy82FKà03CTKo&ûtJ*yúefcláTé$RQïdiû#UHxìë5èüw^í,99.75,t,494,8
34,2023-07-01,95,ZkfBì8vo8Ua@p5ôUy2û3$J8üopnvSôëFêâhoseEûR7cg&bj71ï,156.36,f,529,25
35,2020-02-11,99,úkPdOj%ä^QGèIbTìcäpBêûëmKBfiVét7pâSTQY*KXfIHóRWHeL,196.98,t,308,8
36,2023-02-25,37,#özìc9G5ëóúéäPDPvY*êíìYuê8hüâpöîgyûûS$ä7MàFóKRqäèê,114,t,234,13
37,2020-02-01,62,Uí%ëRöejä$öIyqï6qax&mlúMmIôiWgîú7niö3yUlLVOóòtMPác,69,t,746,2
38,2021-12-20,166,îXqKgqk49Ril1B9ëxMb7ygRéíûòNBOu*^ZáàWtC6fUYnTêewPì,56,t,554,19
39,2021-11-24,30,ìtáë3AzàîôâóJ^JpS@VêéRoV1aòTiìWasóíM5ú1Gû&îELjúáUg,110.21,f,815,7
40,2021-07-27,39,ídebjGSû@POächì9SFvàû3úïvpáiJJkyDf%dBé4égä0ö#j1#5I,152,t,785,26
41,2022-05-13,166,tVäûqlGö^0u^âf*v#óZ47a8BO%fuvs1XúbKíántykJúX$hlEgo,50,f,223,3
42,2019-02-11,112,mhDû@D^RWb$&OáW0Kë5UL@bqroxïáöHôêjpugGéT9eiAdl8Jüw,112.1,f,481,29
43,2020-07-19,86,9oka50W#MWQàtvORí1äCô%HûhúB9@7*qerâ0b28%zZ2ìLD1TC4,92,t,432,9
44,2023-09-06,92,p9&Xoq6G^c3Sg%3lWìòàüTHTzEDáèëêyH#kZôsYék2VöW&ü#9û,125.37,f,50,21
45,2023-05-08,168,*Lò%$WFK%ì*gcR^íQAYëMM77èf1étûzNóNJ&ûZsàism5STkm3â,130.52,t,409,27
46,2021-09-28,149,YXCCcr$ö5ë#ZüZVKäà3bu4xAôáwy^ìFk#doESAiaböhêPê7àLò,179.4,f,436,8
47,2019-11-05,172,pgó*OPMV$0%bywHNSEb1oíCGäBJée^U&sVnlQ2P7^ë&RHìí0Uq,74.06,t,597,14
48,2022-04-06,109,ykJúX$hlEgo$6d0ââ1*UwNuTdFexmBpL0CMFZi7DGWriPS2%ôï,127.06,f,972,8
49,2023-04-13,82,o&ûtJ*yúefcláTé$RQïdiû#UHxìë5èüw^íkóLlHFhVfêó6óhï2,148.56,f,139,22
50,2019-06-12,45,$îëY6yyw4fòfOoúqx1nNrâ*9pH8s*Q43hû5âb0ûyahI50qE*ì4,168.57,t,22,28
51,2022-05-15,83,utïöBQè%û#àu&vqg#6îATôWëz1UXò8bIúCNaoëH*A^Fxlxé6h8,74.42,t,502,12
52,2023-10-26,174,ôD8EkM4PVâMjPwäíOdéRûmôîG0ôwAZ@X&FeôZPaä8îy82FKà03,119.45,f,614,1
53,2023-02-25,100,Kmâkéò$ûnc83ZqPC$PöxR%MhöFIsJTíOx$%@Cähtîfd5#*2êhä,93.93,f,575,10
54,2020-09-13,153,NCíîvQmwp9&Xoq6G^c3Sg%3lWìòàüTHTzEDáèëêyH#kZôsYék2,106.03,f,740,4
55,2021-01-16,33,áídulTü5Xkaî@JKHP7v7ësrBIM&äviê%Aú$Dêö8O@mQigLwJ29,147,f,800,23
56,2020-09-14,46,ü%hOäISftbMEFCL2q2è#m^DI#à^eXP%áO&WûKK5iLdzGsFx4éL,103,f,587,1
57,2023-04-27,96,Iì@òmb7eAp7B#Oïw9$LfïEHr2SéNwnomuûgsEec4mrdDgQNyf^,80,t,812,8
58,2019-03-06,94,aXxTQtíròaBatj^9áwVIBVe4XCSneLPyQZòV3BCAIcn0úlk#AF,195,f,529,10
59,2019-05-08,149,èè$Ká7Y5ôo9oka50W#MWQàtvORí1äCô%HûhúB9@7*qerâ0b28%,111.51,t,178,5
60,2020-12-25,50,xTkK%6JìsL7Gbì*DmENêJr785Uoz$axvGMRDa0néBFûAHáZ%Tq,111,t,950,14
61,2023-05-07,52,Xkaî@JKHP7v7ësrBIM&äviê%Aú$Dêö8O@mQigLwJ29à9MBéêuP,131.6,t,987,5
62,2021-06-19,95,VVv@PrHpNö*örh$jFv%G*Tc2&ARlcJNw7XèT1tur0amyJji9sx,180.72,f,397,7
63,2019-05-03,86,xôèojZcDDds^ü6ï$âyâüúuè4cv5yBûkxz&òû8$epFTBjbcüiîû,111.91,t,999,10
64,2023-11-30,37,á23ébwêpZvIhJîRdUnáeoh1NìfiyWNruíö5C1ìûáîàLWúrUSaô,90.46,f,503,3
65,2023-12-05,169,^eXP%áO&WûKK5iLdzGsFx4éLH^îXqKgqk49Ril1B9ëxMb7ygRé,200,f,746,15
66,2023-03-13,139,x1nNrâ*9pH8s*Q43hû5âb0ûyahI50qE*ì4ôòégm#áídulTü5Xk,58.43,f,442,27
67,2020-01-01,53,CíîvQmwp9&Xoq6G^c3Sg%3lWìòàüTHTzEDáèëêyH#kZôsYék2V,156.91,t,521,26
68,2023-01-01,88,àFóKRqäèêmhDû@D^RWb$&OáW0Kë5UL@bqroxïáöHôêjpugGéT9,58,f,314,4
69,2023-12-17,109,YKh7uòIMbHPòkDâEyîusX8V^EcEXNöò6êxjcwJózduRInqôr0^,72.54,f,410,3
70,2022-11-10,177,eú6òDslè0kûs@ggûGhCYcQaWô1hdìytPgFPIîónHJâëó$Wi*éW,192.44,f,784,10
71,2023-10-21,67,ptMowDVl8mó9ûî4ü2elNm5uJEï8íUNíq&úOûzqXâ@êèfí&NOLU,99,t,159,27
72,2020-02-16,34,BfiVét7pâSTQY*KXfIHóRWHeLroôJöîMàhYXCCcr$ö5ë#ZüZVK,86.57,f,348,16
73,2022-11-24,40,MPácòAênFìîKs896^pdpYaü07#xXdàJvzRu2Jâq%rû&àó@e8kr,194,f,772,15
74,2023-10-19,59,èiüHóuLöóQy^&$Evjvûgf7%B3ôjïP15Y08PíxDyaEëû*k^qxYy,104.6,t,604,22
75,2022-10-16,155,04Wz6NHvBöüCRì^á$èvXw&5T7ôBUûXï0IVYû90íàDObpïIAB&G,145,f,245,11
76,2020-11-09,73,á6DZ1RzXi2ieòzuQ5GQJônoIKêvú%X7Aíbô#341@kökTtûw27t,197,f,617,27
77,2020-03-05,112,d0ââ1*UwNuTdFexmBpL0CMFZi7DGWriPS2%ôïZ7zzx5gr4Ppn&,174,f,747,27
78,2020-05-07,111,U6@î5%TO1HffIXüEèCï2ô2E#Z%úHâàôd6Pîûa&6òïJUhvdOGHE,129,f,927,30
79,2023-01-20,89,$jFv%G*Tc2&ARlcJNw7XèT1tur0amyJji9sxjImWS4kD3n#Mzz,81.13,t,130,1
80,2021-08-12,75,sUûôpézïpzt%Zeru@íY36ükAN$eäëòcWóa3áûmûüá2ó&#gíwfà,59.13,f,83,16
81,2023-06-27,59,eiAdl8JüwaXxTQtíròaBatj^9áwVIBVe4XCSneLPyQZòV3BCAI,69,t,985,1
82,2019-04-21,166,ïèl^WnìiF%beRfo2kVèìúï#GSyDCûàäâxG@jYîrXájdTï^^öm8,165,f,274,27
83,2020-12-30,77,q2è#m^DI#à^eXP%áO&WûKK5iLdzGsFx4éLH^îXqKgqk49Ril1B,77.9,t,537,22
84,2020-01-18,77,zx5gr4Ppn&y2oOsêY@qI9tAR54ijMêcHäGb5J61rFAòLûûíh@$,108,f,397,9
85,2019-04-19,163,36Füà&BlvLZHphifoóam&ïëyglï^aKGsü8rczAonèè$Ká7Y5ôo,129.47,f,915,8
86,2021-02-08,88,vjvûgf7%B3ôjïP15Y08PíxDyaEëû*k^qxYyA6VQjDüáZü2Kbâë,58,t,146,4
87,2021-08-24,130,FìîKs896^pdpYaü07#xXdàJvzRu2Jâq%rû&àó@e8krSr@0OJc^,137.5,f,703,7
88,2019-02-23,113,à9MBéêuPlïèl^WnìiF%beRfo2kVèìúï#GSyDCûàäâxG@jYîrXá,104.75,t,1,25
89,2020-04-15,124,WnìiF%beRfo2kVèìúï#GSyDCûàäâxG@jYîrXájdTï^^öm8ò1è6,59,t,99,15
90,2020-01-09,30,%ó4^7KQä68HYPuEàyOE3äklirèZèAWVdjoü*ZN2ïb#ëe2DòqûQ,138.87,t,214,21
91,2020-03-17,96,^âf*v#óZ47a8BO%fuvs1XúbKíántykJúX$hlEgo$6d0ââ1*UwN,62,f,414,4
92,2020-06-14,68,éóeCmUaNYlzhSKLIQ8w8ïAsCJN*ëDjîVBàUEîüQP#nRj4MxK3@,123.48,f,510,2
93,2023-04-10,46,YwwâûqVjToCaCWLïOhZïhbvHéücsPGloêìy$uáXYVûEQîlNMûW,62,t,396,28
94,2022-04-03,34,@2úìFòd^wídebjGSû@POächì9SFvàû3úïvpáiJJkyDf%dBé4ég,120,f,243,7
95,2021-07-02,180,ORí1äCô%HûhúB9@7*qerâ0b28%zZ2ìLD1TC4Kî*&të*ìn$g@mt,119,t,22,29
96,2019-02-21,133,jdTï^^öm8ò1è6UsUûôpézïpzt%Zeru@íY36ükAN$eäëòcWóa3á,73,t,331,29
97,2022-11-22,162,KLIQ8w8ïAsCJN*ëDjîVBàUEîüQP#nRj4MxK3@èRNCíîvQmwp9&,54.33,t,678,29
98,2020-01-23,99,özìc9G5ëóúéäPDPvY*êíìYuê8hüâpöîgyûûS$äOàoîmóä%tpe@,95,f,14,7
99,2021-06-08,86,9ëxMb7ygRéíûòNBOu*^ZáàWtC6fUYnTêewPìQ@ò63úDíJQoQúZ,185.86,t,720,8
100,2019-05-08,41,U6@î5%TO1HffIXüEèCï2ô2E#Z%úHâàôd6Pîûa&6òïJUhvdOGHE,121.17,t,213,27
101,2020-08-02,55,íTqX30äVkûYctàúNOo3HjAiGàlèéWhc&n6*9Mäï8@JeRwFp0Qû,83.49,t,523,5
102,2023-07-26,147,âûqVjToCaCWLïOhZïhbvHéücsPGloêìy$uáXYVûEQîlNMûWêNk,143.41,t,174,26
103,2022-02-04,168,òNBOu*^ZáàWtC6fUYnTêewPìQ@ò63úDíJQoQúZkfBì8vo8Ua@p,89,t,767,29
104,2021-12-27,105,A$2QLe&äfösxGëüp6xûlAúwmûFVVTêC7Ci43NUYKh7uòIMbHPò,88.59,f,276,28
105,2020-07-20,63,afà7ûEAmì2lät#hháá6DZ1RzXi2ieòzuQ5GQJônoIKêvú%X7Aí,59.22,f,477,1
106,2020-06-13,34,òZTìwEäTà4vôé*íëkìDTURZt5Ag21LSXIf5sèGKüFNèáBYwwâû,147,t,855,13
107,2020-08-09,84,hCYcQaWô1hdìytPgFPIîónHJâëó$Wi*éWEn2309jïjSäòv16sR,168,t,280,9
108,2022-12-09,100,lWìòàüTHTzEDáèëêyH#kZôsYék2VöW&ü#9ûIìOVtVäûqlGö^0u,144,t,908,15
109,2023-10-16,102,A6VQjDüáZü2Kbâë@2úìFòdröKZâXéz#Gm97SYôPl#zïMRgMTïè,78.79,t,812,20
110,2019-04-18,167,341@kökTtûw27tSwéE^vN%xEW99nú@áh5a3fmO@6vKFö9óöìmr,89.57,t,506,16
111,2019-10-15,159,dFexmBpL0CMFZi7DGWriPS2%ôïZ7zzx5gr4Ppn&y2oOsêY@qI9,106.83,t,658,17
112,2021-12-01,59,y2oOsêY@qI9tAR54ijMêcHäGb5J61rFAòLûûíh@$éóeCmUaNYl,131.31,f,310,26
113,2023-01-01,81,N4*Lò%$WFK%ì*gcR^íQAYëMM77èf1étûzNóNJ&ûZsàism5STkm,102,f,826,14
114,2020-05-21,129,ddHVïCàAä0E0wlA$óGYóîc56âôü%hOäISftbMEFCL2q2è#m^DI,92,t,215,8
115,2023-09-28,143,Uí%ëRöejä$öIyqï6qax&mlúMmIôiWgîú7niö3yUlLVOóòtMPác,93,t,727,14
116,2023-10-31,166,R54ijMêcHäGb5J61rFAòLûûíh@$éóeCmUaNYlzhSKLIQ8w8ïAs,73.44,f,502,27
117,2021-07-19,34,zTVèiüHóuLöóQy^&$Evjvûgf7%B3ôjïP15Y08PíxDyaEëû*k^q,138,f,659,13
118,2023-02-10,177,$eäëòcWóa3áûmûüá2ó&#gíwfàn5cbZZ0&TvMtScxdöótoKzALE,174.47,f,787,29
119,2019-05-27,124,z$axvGMRDa0néBFûAHáZ%TqrUúkPdOj%ä^QGèIbTìcäpBêûëmK,188,f,971,17
120,2019-12-06,60,r@0OJc^òZTìwEäTà4vôé*íëkìDTURZt5Ag21LSXIf5sèGKüFNè,191,t,326,21
121,2022-03-10,58,^U&sVnlQ2P7^ë&RHìí0UqdëqCîsïnLCgjWlu8qêëïûdALY4JIú,169,f,425,1
122,2023-12-21,91,à3bu4xAôáwy^ìFk#doESAiaböhêPê7àLòüeú6òDslè0kûs@ggû,173.69,f,987,4
123,2019-07-21,97,pzt%Zeru@íY36ükAN$eäëòcWóa3áûmûüá2ó&#gíwfàn5cbZZ0&,144.76,f,113,23
124,2022-07-13,136,cDDds^ü6ï$âyâüúuè4cv5yBûkxz&òû8$epFTBjbcüiîûg8èàra,148.18,f,696,18
125,2021-08-21,49,döótoKzALEYhjCFVqô7R1$îëY6yyw4fòfOoúqx1nNrâ*9pH8s*,152,t,826,28
126,2023-04-12,66,OhZïhbvHéücsPGloêìy$uáXYVûEQîlNMûWêNkQxtóPeíSänûôH,138,t,882,4
127,2023-11-22,102,WìòàüTHTzEDáèëêyH#kZôsYék2VöW&ü#9ûIìOVtVäûqlGö^0u^,144.15,f,632,15
128,2023-08-27,142,@JKHP7v7ësrBIM&äviê%Aú$Dêö8O@mQigLwJ29à9MBéêuPlïèl,126,t,285,15
129,2023-02-19,176,vo8Ua@p5ôUy2û3$J8üopnvSôëFêâhoseEûR7cg&bj71ïuVVv@P,132,t,422,4
130,2021-10-08,154,HixBd#b*ûfáâQbë9hz93Gúè14DïLp*juKXFofgeméUí%ëRöejä,198,t,968,27
131,2022-04-16,167,húB9@7*qerâ0b28%zZ2ìLD1TC4Kî*&të*ìn$g@mtUA$2QLe&äf,114,t,387,2
132,2019-09-20,114,vpáiJJkyDf%dBé4égä0ö#j1#5Ièq36Füà&BlvLZHphifoóam&ï,108.57,t,274,21
133,2022-05-25,37,jToCaCWLïOhZïhbvHéücsPGloêìy$uáXYVûEQîlNMûWêNkQxtó,104,f,748,18
134,2019-01-19,115,ûEAmì2lät#hháá6DZ1RzXi2ieòzuQ5GQJônoIKêvú%X7Aíbô#3,186.65,f,101,12
135,2022-07-11,129,YcQaWô1hdìytPgFPIîónHJâëó$Wi*éWEn2309jïjSäòv16sRïá,106.94,f,537,1
136,2020-08-20,142,ebjGSû@POächì9SFvàû3úïvpáiJJkyDf%dBé4égä0ö#j1#5Ièq,66,f,746,8
137,2023-08-19,158,fí&NOLUoz$axvGMRDa0néBFûAHáZ%TqrUúkPdOj%ä^QGèIbTìc,57,t,213,22
138,2022-09-02,132,àäâxG@jYîrXájdTï^^öm8ò1è6UsUûôpézïpzt%Zeru@íY36ükA,84.03,t,538,20
139,2020-12-27,73,íSänûôHHixBd#b*ûfáâQbë9hz93Gúè14DïLp*juKXFofgeméUí,110.28,f,975,23
140,2020-02-14,38,*àòj0rYf#îpgó*OPMV$0%bywHNSEb1oíCGäBJée^U&sVnlQ2P7,167.6,t,102,25
141,2021-09-07,81,CMFZi7DGWriPS2%ôïZ7zzx5gr4Ppn&y2oOsêY@qI9tAR54ijMê,189,t,820,7
142,2022-02-25,127,XP%áO&WûKK5iLdzGsFx4éLH^îXqKgqk49Ril1B9ëxMb7ygRéíû,154.27,f,450,19
143,2020-05-21,66,*&të*ìn$g@mtUA$2QLe&äfösxGëüp6xûlAúwmûFVVTêC7Ci43N,181.4,f,759,28
144,2023-09-26,125,^EcEXNöò6êxjcwJózduRInqôr0^wídebjGSû@POächì9SFvàû3,119,f,995,14
145,2020-06-24,38,tMowDVl8mó9ûî4ü2elNm5uJEï8íUNíq&úOûzqXâ@êèfí&NOLUo,168,f,614,9
146,2019-07-19,98,jSäòv16sRïáDptMowDVl8mó9ûî4ü2elNm5uJEï8íUNíq&úOûzq,197.01,t,417,19
147,2019-09-09,35,êNkQxtóPeíSänûôHHixBd#b*ûfáâQbë9hz93Gúè14DïLp*juKX,157,f,240,24
148,2023-03-30,61,ìîKs896^pdpYaü07#xXdàJvzRu2Jâq%rû&àó@e8krSr@0OJc^ò,118,f,326,23
149,2020-11-27,90,QxtóPeíSänûôHHixBd#b*ûfáâQbë9hz93Gúè14DïLp*juKXFof,119,t,980,27
150,2023-08-09,118,y2û3$J8üopnvSôëFêâhoseEûR7cg&bj71ïuVVv@PrHpNö*örh$,86,f,569,10
151,2023-02-06,139,VäûqlGö^0u^âf*v#óZ47a8BO%fuvs1XúbKíántykJúX$hlEgo$,123.47,f,711,28
152,2021-01-12,94,hjCFVqô7R1$îëY6yyw4fòfOoúqx1nNrâ*9pH8s*Q43hû5âb0ûy,122,t,976,10
153,2021-10-02,133,UYKh7uòIMbHPòkDâEyîusX8V^EcEXNöò6êxjcwJózduRInqôr0,74,f,622,22
154,2020-06-09,79,41@kökTtûw27tSwéE^vN%xEW99nú@áh5a3fmO@6vKFö9óöìmr*,130,t,147,17
155,2021-11-09,84,cbZZ0&TvMtScxdöótoKzALEYhjCFVqô7R1$îëY6yyw4fòfOoúq,129.95,f,698,29
156,2022-03-30,119,sxGëüp6xûlAúwmûFVVTêC7Ci43NUYKh7uòIMbHPòkDâEyîusX8,103,t,590,23
157,2020-12-12,65,geméUí%ëRöejä$öIyqï6qax&mlúMmIôiWgîú7niö3yUlLVOóòt,123.82,t,212,22
158,2023-05-26,99,äGb5J61rFAòLûûíh@$éóeCmUaNYlzhSKLIQ8w8ïAsCJN*ëDjîV,65.95,t,72,2
159,2023-03-10,89,6d0ââ1*UwNuTdFexmBpL0CMFZi7DGWriPS2%ôïZ7zzx5gr4Ppn,152.12,f,702,14
160,2023-05-16,86,Z47a8BO%fuvs1XúbKíántykJúX$hlEgo$6d0ââ1*UwNuTdFexm,78.59,t,304,11
161,2022-07-06,164,hbvHéücsPGloêìy$uáXYVûEQîlNMûWêNkQxtóPeíSänûôHHixB,171,f,928,22
162,2019-09-04,82,náeoh1NìfiyWNruíö5C1ìûáîàLWúrUSaôíTqX30äVkûYctàúNO,199.92,f,753,9
163,2022-07-03,139,zAonèè$Ká7Y5ôo9oka50W#MWQàtvORí1äCô%HûhúB9@7*qerâ0,134.15,f,651,23
164,2021-11-01,111,$axvGMRDa0néBFûAHáZ%TqrUúkPdOj%ä^QGèIbTìcäpBêûëmKB,72.49,f,94,28
165,2023-10-16,82,hû5âb0ûyahI50qE*ì4ôòégm#áídulTü5Xkaî@JKHP7v7ësrBIM,81.14,f,241,11
166,2022-12-13,111,v%G*Tc2&ARlcJNw7XèT1tur0amyJji9sxjImWS4kD3n#MzzddH,152,t,261,21
167,2020-01-10,129,HVïCàAä0E0wlA$óGYóîc56âôü%hOäISftbMEFCL2q2è#m^DI#à,182.99,t,670,19
168,2020-12-07,136,Tà4vôé*íëkìDTURZt5Ag21LSXIf5sèGKüFNèáBYwwâûqVjToCa,153,t,202,22
169,2021-03-19,82,ûAHáZ%TqrUúkPdOj%ä^QGèIbTìcäpBêûëmKBfiVét7pâSTQY*K,82.51,t,907,4
170,2021-02-10,89,ü8rczAonèè$Ká7Y5ôo9oka50W#MWQàtvORí1äCô%HûhúB9@7*q,52,f,120,14
171,2022-06-16,47,u*^ZáàWtC6fUYnTêewPìQ@ò63úDíJQoQúZkfBì8vo8Ua@p5ôUy,74,f,41,14
172,2019-06-07,142,iWgîú7niö3yUlLVOóòtMPácòAênFìîKs896^pdpYaü07#xXdàJ,156,t,54,8
173,2019-03-14,156,îusX8V^EcEXNöò6êxjcwJózduRInqôr0^wídebjGSû@POächì9,99,f,233,23
174,2020-01-20,157,ét7pâSTQY*KXfIHóRWHeLroôJöîMàhYXCCcr$ö5ë#ZüZVKäà3b,136,t,394,10
175,2022-03-04,90,bu4xAôáwy^ìFk#doESAiaböhêPê7àLòüeú6òDslè0kûs@ggûGh,105,f,969,26
176,2019-09-01,167,ö8O@mQigLwJ29à9MBéêuPlïèl^WnìiF%beRfo2kVèìúï#GSyDC,162,t,659,28
177,2020-04-08,167,gm#áídulTü5Xkaî@JKHP7v7ësrBIM&äviê%Aú$Dêö8O@mQigLw,91.79,f,150,18
178,2021-05-17,85,Z1RzXi2ieòzuQ5GQJônoIKêvú%X7Aíbô#341@kökTtûw27tSwé,65,f,732,12
179,2021-11-21,151,RqäèêmhDû@D^RWb$&OáW0Kë5UL@bqroxïáöHôêjpugGéT9eiAd,192.49,t,164,4
180,2020-01-08,137,bwêpZvIhJîRdUnáeoh1NìfiyWNruíö5C1ìûáîàLWúrUSaôíTqX,189.32,f,557,10
181,2022-11-10,34,N*ëDjîVBàUEîüQP#nRj4MxK3@èRNCíîvQmwp9&Xoq6G^c3Sg%3,64.31,t,871,17
182,2019-07-24,68,òêòCcXflqbBfO4xd$wg4FsrëStOàoîmóä%tpe@4âsRêUûazTVè,95.37,f,734,1
183,2019-11-21,170,yA6VQjDüáZü2Kbâë@2úìFòdröKZâXéz#Gm97SYôPl#zïMRgMTï,142,t,588,20
184,2021-01-08,128,glï^aKGsü8rczAonèè$Ká7Y5ôo9oka50W#MWQàtvORí1äCô%Hû,137,t,196,26
185,2022-08-26,122,o3HjAiGàlèéWhc&n6*9Mäï8@JeRwFp0QûMumnksòêòCcXflqbB,120,f,45,19
186,2022-09-15,146,îûa&6òïJUhvdOGHEN4*Lò%$WFK%ì*gcR^íQAYëMM77èf1étûzN,129.53,f,45,14
187,2022-03-02,149,fiVét7pâSTQY*KXfIHóRWHeLroôJöîMàhYXCCcr$ö5ë#ZüZVKä,139,t,630,11
188,2019-07-30,176,dulTü5Xkaî@JKHP7v7ësrBIM&äviê%Aú$Dêö8O@mQigLwJ29à9,130.74,t,793,2
189,2019-08-21,130,Röejä$öIyqï6qax&mlúMmIôiWgîú7niö3yUlLVOóòtMPácòAên,169,t,785,25
190,2021-03-17,70,ìí0UqdëqCîsïnLCgjWlu8qêëïûdALY4JIúäaé3M*pûóxôèojZc,120,f,269,24
191,2020-03-07,45,Oo3HjAiGàlèéWhc&n6*9Mäï8@JeRwFp0QûMumnksòêòCcXflqb,67.93,t,658,7
192,2019-10-27,115,&$Evjvûgf7%B3ôjïP15Y08PíxDyaEëû*k^qxYyA6VQjDüáZü2K,126.46,t,121,18
193,2019-05-07,154,XfIHóRWHeLroôJöîMàhYXCCcr$ö5ë#ZüZVKäà3bu4xAôáwy^ìF,63,f,250,30
194,2019-12-28,103,wy^ìFk#doESAiaböhêPê7àLòüeú6òDslè0kûs@ggûGhCYcQaWô,111,f,182,19
195,2021-12-01,111,erâ0b28%zZ2ìLD1TC4Kî*&të*ìn$g@mtUA$2QLe&äfösxGëüp6,155.45,f,150,14
196,2020-05-11,163,égä0ö#j1#5Ièq36Füà&BlvLZHphifoóam&ïëyglï^aKGsü8rcz,177,f,281,18
197,2023-12-24,86,HóuLöóQy^&$Evjvûgf7%B3ôjïP15Y08PíxDyaEëû*k^qxYyA6V,160,t,767,21
198,2019-06-15,136,JüwaXxTQtíròaBatj^9áwVIBVe4XCSneLPyQZòV3BCAIcn0úlk,94,t,125,24
