service_id,service_date,service_duration,service_comment,service_cashed_price,service_client_id_id,service_massage_id_id
32,2019-02-12,87,GZOaä8îyleyKú0fvSKorûs2*xúefclHTá#RPïdiû@THxìë5èöw,140,476,31
33,2020-05-09,40,y49uUaóGswPrzGAo#èè$Ká7Y5ôoPp8xM0W#MWQàtBORí1tâô%H,174,91,32
34,2022-01-13,173,úFE00ôöuZmXsGâGC8XRkîbleyKMdfvT3èsûä2*yúêîZóI%IoR9,69,700,47
35,2021-04-18,54,cM2ub@ue1CqpòQqMímâkéò#rmc72YpPZSìïxQTúgïEárJëéOw$,183,923,26
36,2021-03-08,110,^ôïZ7z0x6gûhQpàsy3pPsîB@rJ9uAS65jé6îd2ë0cjK72sGBû5,163,194,22
37,2022-10-22,176,aàvqMeDNGâélFHXûá@Tg^ûUCk01y6hähQìèsz4pPäîBnrJmuBS,180,72,30
38,2020-11-05,44,U8OmmPûgLöJe9à9LBéDëOíïàk%WúèhF%aeQêo2kVNOLU#GSaDC,150,18,3
39,2020-11-01,36,rwiIlVR3kC2n@LzyccGVëBú*ûzD0vl*#íFXíêb46Zîö$gNûHSf,144,823,24
40,2019-11-10,63,dajGRû@PNäbgì9SFvàû3úïuoáiIJjyCe$dBá4éfä0ï@i1#4Hàq,197,838,25
41,2022-02-09,48,a*dN3vc#ue2DqqûRrMómêkéò$rnc83ZqPZTòöxRUàhöFésKëíP,153,509,4
42,2019-02-19,105,2QLe*äêVäyGïWì6xáóBúömûFVWTîv7Ci43OUZKh7vòIMbHPòíE,191,429,45
43,2023-08-22,149,eFFgu*b8ü^î0îbèwû7fx70Dímz1Bäé#^grHVDldebkûëi@òìtc,73,49,18
44,2023-05-17,76,àO7è31éBûGNmOíWid*à6tm6Sï8n3êSwzì0@H6ïmnktPêòCZXfl,112,671,48
45,2021-07-09,161,^zZfìLx1Tw4LFs&ëëAOà$ô@ótUt%2R5ê*RêVäyGTWì6xáóBMöm,166,725,1
46,2019-04-07,170,C*Hznzókj#AF7ínaT59ê4$Tè0G2eIaöDoBu1î1E@ZTmHdúôd6O,163,291,32
47,2021-11-05,177,jv7TtrC16sSváê%uM%xDV98mmQágLüJf9N@5vJEïPóöèl^*úìi,65,713,42
48,2020-10-05,94,t#ûháIiEBeScYá3áeûzuQhG@3GúpI4Döú%AjBKYGo342@íölUë,128,300,35
49,2022-08-21,171,RyuúPfóSëoûûIIjxCe$cAágáêQcï@i0@4Hàè24EöMqAkuKYGog,149,841,10
50,2019-09-02,63,52@lülUuäx38tTxéF&vN^yFX@9oà#éi6a4gnO#7wLFö@úüìmsA,58,466,5
51,2019-12-24,89,âíìXuD7gVZoUîgaQò##äj5àyó3RpRèâlôwûmwq@Wbor7ûV03ëg,143,45,19
52,2023-04-30,35,óáòOCOuX&ZéàWtâ6föYnïêfwòìQ@û6KúDíJQoûúZkfBò9C$PVa,193,457,10
53,2019-07-18,113,&OáW0Kë4UL@bqroxïáöGôêjpugGéT9eiAdl8JüwaaEëû*k^qxY,144,838,49
54,2023-05-17,141,h8alBP^fïöäeYMY4íIàëbí3àApióyhèp7ddêDe*VüOïTâzeaúv,56,733,35
55,2021-11-30,83,RUàhöFésKïíPx$%@Cthuôfe5#*2îiäO04Wz7NávBwüCäò&j%pw,90,584,23
56,2020-11-26,44,bDWLïì5ZvibvHéxcsQHloêpz%vébcüiFQô8OMûafè8REuúò2óä,183,233,37
57,2021-06-09,117,nHdoh16Pfiy&6òuJö5vdOôûîàK&Lr%$WôíTq*3cRVkQYctMúN7,165,464,11
58,2023-04-19,173,KüîNàiZYCCds%ö6ë$ZaâVLëè4cv5yBûéwz&òGk#epFTBjbcühî,177,920,31
59,2021-11-11,178,D^à2êNHêk9ôIYsjRU4Vûöâ8Híûò7BOu*&ZáàWtC6fUYnTêeüPì,153,423,17
60,2022-09-28,145,QQr6KmDkJò$ûnc8fBq8C$Pöx@%MhöFIs3TíPxppnvëhuFfd5os,173,556,13
61,2023-10-26,176,WàS0*A^Fülxéih8&C5álöR37Z2@RLyEccGUëBó*ûzâzB8W#íFX,134,825,20
62,2022-07-18,105,leyKàdfvTKorûä2*yúêîZíITéoRQïâáQnU0xìShèVüríéLLl0F,62,317,26
63,2020-07-15,113,crspyöéüHûîkqvhHíU@fjBem9KaxbYyTRtósòaCbuk&@éxWJCW,154,287,48
64,2019-07-04,101,674$nbnWwïy5@vVzóHAxP*0HY$#qì%ój8c6ipQ%9yMHa$èbûou,187,417,16
65,2019-12-12,50,éAe5öj*M#dûäìbVJW2ûGíòöû1í^nféveúm4baYBb^SïLäRYwcï,149,254,42
66,2020-05-18,133,X6Yíbô#KKIQkw8ïtsCJN*ëwjî^Bà%EîW9PnnRáhMüKf@è@MCíF,160,3,21
67,2020-02-10,108,#rJ@uBS65jkNîdJëHc7K72sGBûMáäói#%íúfDnVcOZm0iTLMJR,196,686,6
68,2019-02-26,111,PDQwZAêíìYvê8hüâpüôgyäûS$ä8MèFúLSqëèêmhDû#E^RWc$&O,115,489,41
69,2023-02-21,150,Axsi%8ûCVáYö13WZä@dKèEPcqöJBC*Hznzó8j@AE7í#aTM9êL$,196,372,46
70,2023-01-30,144,ëoáûI2áyCê$ZAIgéêRcï@û0@4HMì25EVMqAévLB0èghfníVó^T,196,630,2
71,2023-04-14,146,br8zénCèyoëHWXVôD8Ek65PVâMj9wäKOdJRûmFîG0ôwuZ@X*Ge,51,776,40
72,2019-08-22,124,écA8äüLajxfQéíûì6BNt&^YáúVsB5eTXmSâeöOè99òh3óvé1Pn,50,969,16
73,2021-11-10,94,òdïrDîäöoLChkXóv8qîTURâAMYhJIàSXJgMtpûLaôOèjâZDDet,58,662,26
74,2019-01-22,37,ì4ôòégm#áídulTa6Xkaî#JKHQ7v7ësrCIN&ävjê%Aà$Dêü9P@m,164,612,20
75,2021-11-23,44,Xjaî@IJGP6u7ësqBHM&äviê%Aú$Dâö8O9mPifLwJ29à9LBéêuO,150,755,42
76,2023-01-31,88,8vo8Uü@p5ôUy1û2$J7üopmvRôäEêZhnseDôR7cg&bi60ïuUVv@,159,354,11
77,2022-03-05,169,HíU@fjBem@KaxbYzUSuósûbCbuk&@éyXJCWg5ZDUofNQzRâûW4,154,36,23
78,2020-10-29,111,âêYí1$Io@8TZûQn%0üOShNVöìJé44ícxôqêwKiKôTeVoéfpi2O,176,803,31
79,2021-06-21,107,h%kGv%HAUd2&BRmdKNx8YìU2uus0bmzKki@txjJnWT5lD4o$M0,92,750,7
80,2020-01-05,76,Uuäw38tTxéF&vN^yFX@9oà#éi6a4gnO#7wLFö@úüìmsAèòj0rZ,61,106,14
81,2020-02-16,93,àBë1î1D@Y$óGZúîc5Oêôü^5ìëITgucNFGDL3^Kì$#VEJ#è&ebQ,78,230,22
82,2019-03-14,135,o5îTy1ûe#I7öàèóïRôäxâZhúûâwô@6bîraûi0ëëUUv9OqHoMïs,84,37,31
83,2022-09-11,160,ë4UL@bqroxïáöGôêjpugFéT9eiAdk8JüwaXxSQsírìüBatj^9á,166,890,22
84,2023-11-03,177,úmNNo2HjAhFà8àkü5c&n5&9Mäu7@JdûCFp0PôLtlmjsìeqCba2,96,426,29
85,2020-05-28,104,08ju7SsqB15rRvûê%tL$wDU87lmPûfKöJe8M94uIDëOíïàk%&ú,197,157,16
86,2019-10-16,146,ïôzé%9eáudíl3üüXXy$RtKrPavaëérmIx&ICWfgADTnê5Pz@Zò,119,807,6
87,2022-12-21,54,ûéíûòNBOtW^ZáàWsZ6fïYnëâewììQ@ò5KóDíIPoòúZkfBì8B$P,177,528,38
88,2021-02-09,85,912z8iëiRrìu05qQuûC$sK#vCU77lí8ôf3ï1dkL84tIDë7éëúj,108,634,43
89,2020-01-20,178,ú4ïFá&JëkìD$%@Bthtî2d4#&1ê5sèôKüîNàiZYCwZs%V6T$Caâ,89,761,29
90,2022-06-10,130,wQSófëEárIäáNw#$9Bsgsêdc4@&0âgûMy2Vx5MûuAvïBòè%h#n,185,231,27
91,2021-09-05,47,êsv#LCg7WkA8qêëïûdXLY3JHúäaé3M*pûóxôèo6ZcâDd&%öNïS,115,69,26
92,2023-01-29,37,DcwlA$ízYKEYh6âFVpgOR1SîäX6EFCLeq2èom^DI#àqeW8$á7&,58,941,18
93,2019-12-13,89,9YTmGcmgz5Negx^5ìtIë3ubNîôâúJ^Jp$@VêéSo^2bQUjPWasL,196,984,48
94,2019-05-12,39,&m9úà@Iô5W4îmOn6wKyU9LVOór*NPá0rYê#Fìgó*896^p0%Yyx,83,281,25
95,2020-03-22,101,gIêRcï@û0ng0Mè2hxVMqtév4B0èghenKVó^TRüfkë%WJzûö7òb,195,321,40
96,2022-06-13,176,ptfFjSP1h*0k8IwvüaDSò*é^ìwAxsi%8ûCVáYö13XZä@dLèEPc,65,857,46
97,2021-06-24,46,#nRjhMyK3@ì#NCóôwQmüìm&XoòjH&cfSgq4mXìòàü%HUzFDáèë,141,21,6
98,2022-04-17,39,fFáS8dh*ck82öwWWx#QsJqOüAüti^lHw^HBVe3*CSmdLOy9ZìU,91,588,37
99,2021-01-28,137,vîá&éëkìDSTQZt4Ag20LRWIf5sèGKüFNàûBYvwZûpUiToBaCVL,60,994,13
100,2020-05-11,43,$dBégéîRdö#j1#4Hèì35FüNrBkvLZHphifoóWó^ïSaglï%aKzs,59,434,31
101,2021-12-09,119,Cû@wp9Wb$q7ûV03ä4%K9aqrowTáïGîêiptfFáS8dh*ck82övWW,107,472,23
102,2020-08-13,116,uè4cu4yBûjwz&ìû8#epFSAjaböhêòf8èúrüeà7òD*lì1käs@hg,79,400,32
103,2021-04-07,170,*WttXènSgQl*ï*TIûLeWûeösEôëüpMDilYúw9rôUVSêBNZiLJè,157,764,2
104,2019-12-31,164,DSò*é^ìxYx*6U8ûCVáYö1KXZä@1óìEPcqöJBC*Hz@Gó87RAF7í,87,130,23
105,2019-12-17,144,2û3F#âVoIeèûe7Pgáb*7ûïKöiwdPûáîè4*Lr^$XôóUq*4dSWlR,87,427,34
106,2022-01-08,77,ïcó4èB^júziìq8eeîî3AWyPwUf0fbàwrN2DNHêklFIYsé@U4^û,168,66,3
107,2020-05-03,75,èLXúsUTbôóUrX40äWlûZcuèàOOp4IkBiHèmìíXid*o6*@Nëö8#,97,573,44
108,2021-12-30,122,c0uànOOp3IkBiGè9èla6d*o6*@Nëv8#KeäDGq1QûMumnktòfrD,161,360,15
109,2021-01-09,113,0zJ9^zZ3òúE1UD4Lô**uuYìoTgRmAUA%2RMfXäfösFGïüqNyám,78,699,18
110,2023-02-13,55,VlûYcuààOOp3IkBiGèmèíWid*o6*@Nëï8#KeSwGq0QûMumnktò,182,704,23
111,2019-03-02,102,frâ0b39^zZ3ìLE1TD4Lô**uëAìo$g@mtUA%2RLe*äfösyGïüp6,190,115,17
112,2021-03-10,135,ûGhCYcRaWô2hdìytPgFPJôónHKâïó$Wi*éXFn2309jïkSäòv16,83,302,35
113,2023-12-26,165,&äviê%Aú$Dêü8P@mQigLwJ29à9MBíêuPlïèl^WnìiF%beRfp2k,66,535,40
114,2022-02-25,128,a5I50qE*ìKôòég9#áídBlTüMXkygRJKHP7v7ë*rCIN&äCiêUAú,128,303,36
115,2021-10-23,110,ïêewòìQ@ò6KúDíJQoûúZkfBì9C$PUa@%MôUyIû3TJ8üpqnvëûë,194,288,31
116,2020-09-16,57,%WJzûö7òbzAúmèNoJHjXhôà8àkü5zVnM&9MäuO@JdûCFpGPôLu,200,782,16
117,2019-03-08,63,à^daP$ûO&WòKJ45ódyôrîxKáLG%êWpígqj3PRik0Y8ëwúa7E3û,64,249,39
118,2020-08-14,103,bxEqCv2ûJF#âVoIeoi27Pgjz*7ûvKö5wePûáîèL*Lr^$XôóUqA,70,596,5
119,2022-12-04,175,rGä2saLêêZíI%Io@9TâûQn%0üOShNVüqJéK4ó0yô^êDKiKôTeü,98,304,43
120,2021-11-01,159,FRô9PNäbgì8RFvúû3úëuoáiIJjyCe$cBá4éfû0ï@i1#4Hàp25E,124,757,36
121,2021-09-22,78,wnVY8Cócû$452#lx9VutE38uUxíô&wO^zFX#@ooSíiNbLg#P#7,104,673,28
122,2023-12-28,38,3pPäîBnrJmuBSi5ké7îâ2ë0cjKj3sGBû6áRLáo%íMîwnVY8Zóc,194,878,10
123,2022-10-14,169,iTóúéä9DQvB*êíìYvE8hWâpVîgaRû#$äk5àyú4R%äpe@hDs@D^,125,398,6
124,2019-01-04,52,5HRKûn$JLêwnUX7Bócû$452@lw9UusD37tTxéô&vN^yFW@9noR,77,422,40
125,2020-06-26,69,8íUNíq&úOûzqXâ@êèfí&NOLUoz$axvGMRDa0néBFûAIáZ%TqrU,74,258,33
126,2022-12-11,121,û*Eò*Gûc$S%pTljO0M5$û%PEàáySobûoAZqälJAehUis6oZûäì,97,37,2
127,2023-04-08,149,HâQbë9û0mg0Mè2gxULqtéu3AzàghemJVí%SRüfkä$VIyòï6ìay,129,449,3
128,2020-09-18,123,bleyKMdfvT3èrûä2*yúêîZíI%IoR9UâáQnU0üìShèVüríéL4ó0,146,251,48
129,2023-04-04,105,îhVfêó6mhï2xTkKUNíìsLOûbì*âmEèêJr785%ocoXüöz6@wWcú,54,94,48
130,2022-02-27,61,KïlòE%^#Du6Bô32M$A3î6ëìH4XG7OéCCxxêärWkUpDYD*5UPiâ,155,983,15
131,2019-06-14,117,SgQl*U*$2QLeWûeösEFëüpMxûlYúw9rôUVSêB6CiK3NTYKhNuò,140,789,13
132,2020-04-19,112,MU$0$bEwGNRDaHnéZFûYIédUT^rVn8Q1O7^äVQGèézUq0t%Cês,84,585,37
133,2020-06-09,110,VjToCaCWLïOhZïhbvHéücsPGloêìy$uáXYVûEQîlNMûWêNkQxt,157,874,16
134,2022-10-03,88,w6zCáíy0*ûHm%fqGUCkcdaiôRô9ìNäbgè8äEunò2mëu$iiéIjE,138,771,8
135,2023-05-09,161,júziìq8eeîEfAWaPöUê0fbàwrNeDNHêélFHYäé@Ug^ûVDl01y7,166,569,45
136,2019-04-26,179,$Tà0G1eIaöDoBu1î1D@YTmHdúôd6Ofûa^5òëJïgucNôûêú3&Kq,145,790,17
137,2019-09-19,133,TSüfkë%WJzûö7òbztúmNNn2Hj*hFà8àjü4b^n5&8Lûu79IdûBF,151,672,34
138,2022-10-13,136,*Ms^%XôóUrA4dSWlRZcuNàO8è42íBáHOmOíXid*à7tm6Sö8n3ê,119,131,12
139,2019-12-19,74,èeNúópv0mMìZ&koGjr^9f2ôô3BXzPxVgHgzpDrN2EOHêk@GIYt,105,702,42
140,2020-06-21,36,éP*XäLL66àe0átôyMíMI&ôYrúhrl5RSjm2Z@ïyèc9F4ëíóáûOC,65,324,28
141,2019-01-25,157,Döú%*juKYGoghemíöl%ëäwfkä$üIFrï6qay*mlàà@Iû6W4în7n,121,484,16
142,2021-10-14,118,ëDGqHRáNv@#8Aûfsâdb39^0âgòMy2Ux5LFt*ëïAPà$ô#útVu%3,137,962,24
143,2019-01-29,127,Iû6W4în8njö4zV@LVPóstNPé0ûBî$Fìgó*896&pdpYyü17$yX1,125,237,28
144,2019-04-18,116,c6hpQ%8yMHa#àaûotCìäl2tâh%ásiàBQRPX^2&e0zJPUGd3qúE,180,644,50
145,2020-06-18,56,Täûw27sSöéEquNpxE&m9úú@Iô5W3îmOn6vKyU9KVOór*MPá0rY,170,787,22
146,2021-09-22,119,81hA0k8JwwaWxSûsíqìüBxti^9áwVáZüe3XâëneLìyPcòV3BC*,116,63,46
147,2020-09-25,146,FRüCBîLQCöFmiXEòWGûcSS%%ïl7ì0à5TûTPEàáyëoys$YZqt9é,189,437,48
148,2023-06-18,149,NîdJëHc7ó7J*ûBûMáäói#UíúfD#öcOZm0iTLMJR9DQöBAêKPAï,125,609,39
149,2021-05-21,133,ähQòètz4qPäôBnsKnuBTj6kí7îâ2ï0cjLk3sHCä6áSLáo%íMîx,133,269,31
150,2020-06-23,71,có5èBrjàzjòq8feîFfBWbPüVî0gbèwrNfEOHêémFIYäé@Ug&áV,60,346,41
151,2023-02-23,44,DGqHRáNv@#8Aòfrâdb39^0ZfòMy2Ux4LFt*ëïAPà$ô#útVu%3R,98,136,43
152,2023-12-15,158,2@QóyEzcFöäBm*szâzB8WRkEaíâa3Mcêï$3àûGäesaLâêZí1$I,140,895,38
153,2022-01-04,112,JyAKDXg5BEUpgNQ0#êäX5xyv3ep2Nnl%w0mMqZW8oG7r&P32gh,139,261,37
154,2023-04-04,126,rBHM&äviê%Aú$DâV8OmmPûgLöJe9à9LBéDëOíïàk%WúèhF%aeQ,183,798,8
155,2019-08-06,119,ïsXlVrEZFA7VQjêakdxJLbeuS2úqôû1&xóâêYéH$HnQ8SZôPmT,100,46,28
156,2019-01-25,116,LeWûeïrEFëöpMxûlYóv9rîUVSêB6BhK2NTYKgNuòáMbûOìkââE,190,651,33
157,2023-01-12,80,âT*óSCâïON8lOh2KvI18úPKAáâtOkun7$Vlo4E$ü0Pe#1jUàèó,116,816,28
158,2021-06-26,130,f$J8üèìúïSôëyêZhàûâxû@7cîrbáj0ïëUVv@OqHpNïsöòôojFu,155,439,12
159,2020-10-20,140,*4*f10KRVHe4ràFJöEMàhAXBvZrpU5S#BüBUKäà3YugütGáwar,54,765,5
160,2019-07-11,119,Pd@0iUúàíëQEQwCAîóòZvE9hWâqVôhzSäT$ë86èGúLSrTìêniE,181,364,35
161,2021-06-05,168,jgpLXú&VTbhmö^XL0äa9äc0uèoOPp4IkBiHè@ìla6d*o7A@Nëv,52,805,38
162,2019-04-06,94,ëFêâhoseEûR7cg&bj7HïuöVwRPrápèö*örh$7ôvUG*Tc2WARlc,112,145,20
163,2021-06-10,136,1mMìâ&koHjr&Qg3hô4ZXzòxügIh0pE*ì3îPIîl@ûJZtlSV5Wéa,143,525,25
164,2020-01-25,108,FZijDGWqû8S2%îëY6yzw5fògPoúrx2oOrêA9qI8t*R54iá5êc1,96,470,8
165,2019-06-14,148,%eëïûdXúb4éánäaé3ú*$hóxgèo6dcââ1*UwNuTdyeüúupL0BMF,162,575,37
166,2022-09-09,63,c67êôa^iPëJTgucNFGDM3r3ì$n&EJ$è&fYQ^éP*XäLL6jMe0Ht,146,143,44
167,2021-11-02,57,ónH3Cïó$&iAJXFn2309éïkTäòv16sSöáEquMpxD^l8óú9Hî5V3,187,873,10
168,2019-08-20,78,f9à@MBíEïPíïèl^WúìiF^beRîp3kWNOMU#GSbECûMRDaGnjYFû,62,188,9
169,2021-03-22,127,2TôïZ7FGDMgr4ìpn&EJ$ìsfY@^é9*XR5LijMêcHäGb5í6I&ôAò,97,69,6
170,2020-09-11,175,OGknâèy#táWXVôDPêkNLòVâMjPwsíOdíRûmôîGGhwAc@a*ôeûZ,73,311,9
171,2019-04-12,117,gnO#7wLFö@úüìmsAèòj0rZg$ôqgóAPQNW%1%cyxIOTFb1píCGë,167,467,44
172,2020-03-31,60,ìúö$GTzECûàäêyH#kZôsYj71övVVw#PrIpOö*üsh%kGv%HAUd2,140,394,21
173,2020-02-24,109,TJûú2Ws2w*Eôux%NEi9YnD@sôöüëfZNâ6LKèïcó5OBréàzáòq8,178,712,12
174,2021-06-10,180,f2gî3YWyòwöfHgzoD&è2êOHêk9ôIYtkRU4Váüê9HIFOht5ûrpA,154,912,2
175,2021-08-15,65,iéé7Eâ2T0Yj4jfä0vR6HRLáopJMîwà^Y8Cócû%452#lümVuëx3,161,183,15
176,2021-02-08,126,PBïElôWCìVFôbRR$oSk6NyL4#òSODúûxRnxr@*Ypr8I*d4Th^5,200,437,28
177,2022-09-02,123,Xqógrk4QSil1Z9ëxàb8F3äéíáòNBOuX&ZéàWtZ6föYnïêfDqqû,186,961,15
178,2020-06-07,140,q@Wcpr7áW04ëh^L@bòûèaUéö0ôîjìïîzé%9eûudíl3üüXXy$Rt,54,949,3
179,2022-09-29,103,XriPT2%ôïZ7z0x6gs4Ppo&y3pOsîY@qJ9tAS55jjNêdIëGb6K6,116,427,1
180,2023-03-08,53,8êeîFfA&aPüUê0îbèwrNeD70DélF1Aäé@%g&HVDl01y7ûäiRòè,168,689,24
181,2021-08-19,69,*pûóxôàoiZcCDds%ö6ë$Zyâüúuè4cv5yBûjxz&òû8#epFTBjbc,141,836,40
182,2019-12-18,124,w5fr3Pon&x2oOrêX9qI8t*R54iiMêcHäFb5J61rFAòLôûíh@$á,161,394,11
183,2022-04-30,38,láTé#RPïdiû#UHxìë5èüw^íkóLlGEgVfâí6óhï2xTkJ%6JìsL7,157,249,50
184,2019-11-20,164,ûypXâ@êèeé&NOLUnz#axvGMRDüznáAEû*HáZ%TqqUúkPdNj%ä^,193,929,50
185,2020-09-23,135,Vf0gbèwrN2EOHêkmFIYté@U4&áüê912z7iëiRrìt04qQuôC$sK,166,513,17
186,2020-06-05,96,r*k^qxYE*6UPiCöjcw1Kadt@1ópEò0qöJYZXáF@Gm87RYîOl#y,135,650,38
187,2019-07-06,138,@vVbóHtxPs0HBp$ìì%Ké8Z6ûpQp9yN1X$NXRèuCPSó2têû^Iäi,124,466,29
188,2022-07-07,54,ûxänxr#XYps8á*d4ïi&L@còûèaUIV1ôFéìïô0é%meáudól3aüX,76,784,36
189,2022-07-24,44,lYúw@sôVVTêC7CiL3NUYKhOuòéMbáPòkêâEyîu&X8V^EcîXNöò,180,582,20
190,2022-11-04,139,NeDNHêélFIYäé@Ug&áVDl01y7häiRòìtz4qQëôCosKnvBTj6kí,74,178,2
191,2023-01-02,52,#&í@BYë6M7kNgeJuH07ó7J*ûZsMiäói#UkúfD#öcOdm0iTúúíä,154,663,23
192,2019-11-10,99,2SáNwnoluûgsEec4mrdDgQMyf^xi5GutïïBQè%û#àu&vqg#6îA,82,970,27
193,2023-05-05,36,HZ$$qò%ók8d7ipR%9zNIb$èbäpuCòëm3uêi^ésjèCRSPY&3*f1,72,410,5
194,2019-07-17,39,MH^îXqLhrk49Sjl1B9ïxMb8ygRíóáòOCOu*&ZéàWtC6fUYnTêf,115,974,19
195,2020-01-05,31,QêûCZXflqcBîP5ae%üg4yäsSTt8MoFnLä^ëpf@hDs#E^Raz%&O,191,605,26
196,2019-10-14,128,ëgauGHöbrOzénâàx#tûWXUôD8EjM4PVâMiPwäíOdéQûmîîG0ôv,143,244,23
197,2021-10-25,47,fáveóm4aaYYz%SuLsQbwbïésnJy*JDXghBDUoî6Q0@âûW4wxu3,163,366,28
198,2022-01-14,172,zNIb$ìcäpuDòëm3uêi^étjèCSTQY*4*f10KRVHe4ràFJöEMàhA,177,622,38
199,2022-08-28,119,Tá#ûPïdiû@ïHwpä5oöw^kkóKlGîgö2elM95uIDë8íïàkq&úèhy,138,475,5
200,2020-05-12,82,BXbPüVî0gcèxsOfEOHêímGIZäí#Vh&áVDm12z8iëiRûìu05rQë,99,741,13
201,2023-06-07,125,FásJëéOw$%@Bthtîed5#*1êhûNz3Vy6NáuAwöCûì^i$ovWv&4T,143,185,3
202,2021-01-28,79,aYAb%#ëLûQXwYïésnJa*3w*îhBx%èî69c@DR*hwxu3âèeMúípv,122,290,39
203,2023-12-13,34,ó0ZLFZi7êGWqhPS2TîëY6FGDLfr3ìon&EJ#èreX9%á8*XR4Lii,156,677,5
204,2023-06-20,146,î69cnDR*hüaïfâèe6úípöcó5ìB&kàzjòr8feîô3BWyPxVf0gbè,79,193,36
205,2019-12-23,57,Iû6X4înOn7wKzV@LVPúsANQé0rZî$Gìgó*896&p1%ZyxI7$yY1,100,391,11
206,2021-11-10,111,@THxèë5èöwqíkKLl0Eg^eDí6óhë2ü$k3%6Jìr47Gbì*CmxNêJr,190,475,19
